title,year,kind,KMRB,genre,country,cast,director,runtime(min),provider
고요의 바다(The Silent Sea),2021,TV,15세이상관람가,"['스릴러', 'SF']",['한국'],"['배두나', '공유', '이준', '김선영', '이무생', '허성태', '이성욱']",['최항용'],,['넷플릭스']
설강화(Snowdrop),2021,TV,15세이상관람가,['드라마'],['한국'],"['정해인', '지수', '유인나', '장승조', '윤세아', '김혜윤', '정유진']",['조현탁'],,['디즈니+']
그 해 우리는(Our Beloved Summer),2021,TV,15세이상관람가,['멜로/로맨스'],['한국'],"['김다미', '최우식', '김성철', '노정의', '박진주', '조복래']","['김윤진', '이단']",,"['넷플릭스', '웨이브']"
불가살(Bulgasal: Immortal Souls),2021,TV,15세이상관람가,['드라마'],['한국'],"['이진욱', '권나라', '이준', '공승연', '정진영', '박명신', '김우석']",['장영우'],,"['넷플릭스', '티빙']"
옷소매 붉은 끝동(The Red Sleeve),2021,TV,15세이상관람가,['드라마'],['한국'],"['준호', '이세영', '강훈', '이덕화', '박지영', '장희진', '장혜진']",['정지인'],,"['웨이브', '쿠팡플레이']"
귀멸의 칼날: 환락의 거리편(Demon Slayer: Kimetsu no Yaiba Yuukaku-hen),2021,TV,청소년관람불가,['애니메이션'],['일본'],"['하나에 나츠키', '키토 아카리', '시모노 히로', '마츠오카 요시츠구', '코니시 카츠유키']",['소토자키 하루오'],,"['웨이브', '티빙', '왓챠', '라프텔']"
배드 앤 크레이지(Bad and Crazy),2021,TV,15세이상관람가,['드라마'],['한국'],"['이동욱', '위하준', '한지은', '차학연', '강애심', '김대곤', '임기홍']",['유선동'],,['티빙']
호크아이(Hawkeye),2021,TV,12세이상관람가,['액션'],['미국'],"['제레미 레너', '헤일리 스테인펠드 ', '베라 파미가', '플로렌스 퓨', '프라 피 ']","['버트', '버티', '라이스 토머스']",,['디즈니+']
술꾼도시여자들(Work Later Drink Now),2021,TV,청소년관람불가,['드라마'],['한국'],"['정은지', '이선빈', '한선화', '최시원', '김정민']",['김정식'],,['티빙']
완다비전(WandaVision),2020,TV,12세이상관람가,"['드라마', '액션', '어드벤처(모험)']",['미국'],"['엘리자베스 올슨', '폴 베타니', '캣 데닝스', '랜들 파크', '캐서린 한 ', '테요나 패리스', '제트 클라인']",['맷 샤크먼'],,['디즈니+']
해피니스(Happiness),2021,TV,15세이상관람가,['드라마'],['한국'],"['한효주', '박형식', '조우진', '이준혁', '박주희', '백현진', '문예원']",['안길호'],,"['티빙', '티빙 (무삭제)']"
어느 날(ONE ORDINARY DAY),2021,TV,청소년관람불가,['드라마'],['한국'],"['김수현', '차승원', '김성규', '김홍파', '김신록', '이설', '서재희']",['이명우'],,['쿠팡플레이']
오징어 게임(Squid Game),2021,TV,청소년관람불가,"['드라마', '스릴러']",['한국'],"['이정재', '박해수', '오영수', '정호연', '허성태', '김주령', '위하준']",['황동혁'],,['넷플릭스']
왓 이프...?(What If...?),2021,TV,12세이상관람가,"['액션', '어드벤처(모험)', '애니메이션']",['미국'],"['제프리 라이트', '헤일리 앳웰 ', '조슈 브롤린', '도미닉 쿠퍼 ', '마이클 더글라스', '데이빗 다스트말치안', '카렌 길런 ']",['브라이언 앤드류스'],,['디즈니+']
브레이크: 하이더펠트 살인 사건 시즌 1(The Break),2016,TV,청소년관람불가,"['드라마', '스릴러', '범죄']",['벨기에'],['요안 블랑'],"['스테판 베르그만스', '뱅자맹 다우스트', '마티외 동크']",,['넷플릭스']
지옥(Hellbound),2021,TV,청소년관람불가,['드라마'],['한국'],"['유아인', '박정민', '김현주', '원진아', '양익준', '이레', '김신록']",['연상호'],,['넷플릭스']
빅뱅이론 시즌 1(The Big Bang Theory),2007,TV,15세이상관람가,"['코미디', '멜로/로맨스']",['미국'],"['자니 갈렉키 ', '짐 파슨스', '칼리 쿠오코', '사이몬 헬버그', '쿠널 나이어']","['척 로리', '빌 프래디']",,"['넷플릭스', '왓챠']"
셜록 시즌1(Sherlock),2010,TV,15세이상관람가,"['드라마', '코미디', '스릴러', '범죄']",['영국'],"['베네딕트 컴버배치 ', '앤드류 스캇', '마틴 프리먼 ', '루퍼트 그레이브즈 ', '마크 게티스', '루 브릴리']","['스티븐 모팻', '마크 게이티스']",,['넷플릭스']
싱어게인 2 - 무명가수전(Sing Again),2020,TV,15세이상관람가,['예능'],['한국'],"['이승기', '유희열', '이선희', '윤도현', '김이나', '규현', '선미', '이해리']",[],,['티빙']
러브캐처 인 서울(),2021,TV,12세이상관람가,['예능'],['한국'],"['손호준', '장도연', '써니', '로꼬', '미연']",[],,['티빙']
로키(Loki),2021,TV,12세이상관람가,"['드라마', '액션', '어드벤처(모험)']",['미국'],"['톰 히들스턴 ', '오웬 윌슨', '구구 바샤-로', '소피아 디 마티노', '리차드 E. 그랜트 ', '운미 모사쿠 ', '사샤 레인']",['케이트 헤론'],,['디즈니+']
왕좌의 게임 시즌 1(Game of Thrones),2011,TV,청소년관람불가,"['드라마', '액션', '어드벤처(모험)']","['미국', '영국']","['키트 해링턴 ', '에밀리아 클라크 ', '니콜라이 코스터-왈도', '레나 헤디', '피터 딘클리지 ']","['티모시 반 패튼', '데이비드 베니오프', '브라이언 커크']",,"['웨이브', '왓챠']"
언프레임드(Unframed),2021,TV,12세이상관람가,['드라마'],['한국'],"['정해인', '이동휘', '탕준상', '최희서']","['박정민', '손석구', '최희서', '이제훈']",130,['왓챠']
솔로지옥(),2021,TV,15세이상관람가,['예능'],['한국'],[],[],,['넷플릭스']
"태종 이방원(The King of Tears, Lee Bangwon)",2021,TV,15세이상관람가,['드라마'],['한국'],"['주상욱', '김영철', '박진희', '예지원', '예수정', '엄효섭', '김명수', '홍경인']",[],,"['웨이브', '쿠팡플레이']"
뷰티 인사이드(The Beauty Inside),2018,TV,15세이상관람가,"['드라마', '코미디', '가족']",['한국'],"['서현진', '이민기', '이다희', '안재현', '이태리', '문지인', '나영희']",['송현욱'],,"['넷플릭스', '티빙', '디즈니+']"
"에밀리, 파리에 가다 시즌 2(Emily in Paris)",2021,TV,12세이상관람가,"['드라마', '코미디']",['미국'],"['릴리 콜린스', '필립핀 르로이-뷔리우', '애슐리 박', '루카스 브라보', '카미유 라자트']",['앤드류 플레밍'],,['넷플릭스']
브레이크: 하이더펠트 살인 사건 시즌 2(The Break),2018,TV,청소년관람불가,"['드라마', '스릴러', '범죄']",['벨기에'],['요안 블랑'],"['스테판 베르그만스', '뱅자맹 다우스트', '마티외 동크']",,['넷플릭스']
응답하라 1988(Reply 1988),2015,TV,15세이상관람가,"['코미디', '가족']",['한국'],"['이혜리', '류준열', '박보검', '성동일', '이일화', '라미란', '김성균']",['신원호'],,['티빙']
체르노빌(Chernobyl),2019,TV,15세이상관람가,"['드라마', '스릴러', '서사']","['미국', '영국']","['제시 버클리', '자레드 해리스', '스텔란 스카스가드', '에밀리 왓슨', '콘 오닐 ', '아담 나가이티스', '폴 리터']",['요한 렌크'],,"['웨이브', '왓챠']"
